Transcript	Exon	Target.Index	Target.Exon
ENST00000417748	ENSE00002684918	11	ENSPTRE00000438160
ENST00000417748	ENSE00001667428	11	ENSPTRE00000425581
ENST00000440180	ENSE00001719578	12	ENSPTRE00000438160
ENST00000440180	ENSE00003790546	12	ENSPTRE00000425581
ENST00000440180	ENSE00003682105	12	ENSPTRE00000250429
ENST00000440180	ENSE00003055759	12	ENSPTRE00000250430
ENST00000440180	ENSE00001620815	12	ENSPTRE00000491187
ENST00000457277	ENSE00001695187	13	ENSPTRE00000438160
ENST00000457277	ENSE00003790546	13	ENSPTRE00000425581
ENST00000457277	ENSE00003682105	13	ENSPTRE00000250429
ENST00000457277	ENSE00003055759	13	ENSPTRE00000250430
ENST00000457277	ENSE00003640229	13	ENSPTRE00000250431
ENST00000457277	ENSE00003651940	13	ENSPTRE00000250432
ENST00000457277	ENSE00003784075	13	ENSPTRE00000250433
ENST00000457277	ENSE00003513466	13	ENSPTRE00000250434
ENST00000457277	ENSE00001630714	13	ENSPTRE00000477250
ENST00000494258	ENSE00003691588	14	ENSPTRE00000425581
ENST00000494258	ENSE00003682105	14	ENSPTRE00000250429
ENST00000494258	ENSE00001924305	14	ENSPTRE00000535683, ENSPTRE00000250432
ENST00000470178	ENSE00001945284	15	ENSPTRE00000425581
ENST00000470178	ENSE00003682105	15	ENSPTRE00000250429
ENST00000470178	ENSE00003055759	15	ENSPTRE00000250430
ENST00000470178	ENSE00002225107	15	ENSPTRE00000491187
ENST00000462763	ENSE00001913158	16	ENSPTRE00000425581
ENST00000462763	ENSE00003682105	16	ENSPTRE00000250429
ENST00000462763	ENSE00003055759	16	ENSPTRE00000250430
ENST00000462763	ENSE00003640229	16	ENSPTRE00000250431
ENST00000462763	ENSE00003651940	16	ENSPTRE00000250432
ENST00000462763	ENSE00003784075	16	ENSPTRE00000250433
ENST00000479953	ENSE00001861842	17	ENSPTRE00000425581
ENST00000479953	ENSE00003682105	17	ENSPTRE00000250429
ENST00000479953	ENSE00003055759	17	ENSPTRE00000250430
ENST00000479953	ENSE00003640229	17	ENSPTRE00000250431
ENST00000479953	ENSE00003651940	17	ENSPTRE00000250432
ENST00000479953	ENSE00003784075	17	ENSPTRE00000250433
ENST00000479953	ENSE00003513466	17	ENSPTRE00000250434
ENST00000479953	ENSE00003207830	17	ENSPTRE00000477250
ENST00000340870	ENSE00003735748	18	ENSPTRE00000425581
ENST00000340870	ENSE00003682105	18	ENSPTRE00000250429
ENST00000340870	ENSE00003055759	18	ENSPTRE00000250430
ENST00000340870	ENSE00003751474	18	ENSPTRE00000438160
ENST00000340870	ENSE00003784075	18	ENSPTRE00000250433
ENST00000340870	ENSE00003748645	18	ENSPTRE00000250434, ENSPTRE00000477250
