geneId	human_trans	chimp_trans
ENSG00000116117	ENST00000614500	ENSPTRT00000096389
ENSG00000116117	ENST00000622699	ENSPTRT00000103075
ENSG00000159256	ENST00000400485	ENSPTRT00000025905
ENSG00000163312	ENST00000295488	ENSPTRT00000030212
ENSG00000163312	ENST00000510985	ENSPTRT00000072506
ENSG00000203685	ENST00000366788	ENSPTRT00000058140
ENSG00000203685	ENST00000366789	ENSPTRT00000058140
ENSG00000161217	ENST00000441879	ENSPTRT00000086915
ENSG00000161217	ENST00000419333	ENSPTRT00000082268
ENSG00000161217	ENST00000292823	ENSPTRT00000107411
ENSG00000161217	ENST00000431016	ENSPTRT00000107411
ENSG00000161217	ENST00000411591	ENSPTRT00000082268
ENSG00000161217	ENST00000433733	ENSPTRT00000097439
ENSG00000161217	ENST00000430755	ENSPTRT00000082268
ENSG00000161217	ENST00000430755	ENSPTRT00000107411
ENSG00000161217	ENST00000430755	ENSPTRT00000086915
ENSG00000161217	ENST00000430755	ENSPTRT00000097439
ENSG00000161217	ENST00000412869	ENSPTRT00000086915
ENSG00000161217	ENST00000443555	ENSPTRT00000086915
ENSG00000153976	ENST00000284110	ENSPTRT00000095853
ENSG00000153976	ENST00000578576	ENSPTRT00000091945
ENSG00000111325	ENST00000537966	ENSPTRT00000067947
ENSG00000111325	ENST00000537966	ENSPTRT00000103926
ENSG00000111325	ENST00000536439	ENSPTRT00000103926
ENSG00000111325	ENST00000397389	ENSPTRT00000103926
ENSG00000111325	ENST00000538755	ENSPTRT00000103926
ENSG00000111325	ENST00000536150	ENSPTRT00000103926
ENSG00000111325	ENST00000545056	ENSPTRT00000103926
ENSG00000111325	ENST00000545612	ENSPTRT00000103926
ENSG00000111325	ENST00000538628	ENSPTRT00000103926
ENSG00000111325	ENST00000545317	ENSPTRT00000103926
ENSG00000111325	ENST00000454694	ENSPTRT00000103926
ENSG00000111325	ENST00000228922	ENSPTRT00000067947
ENSG00000172478	ENST00000402775	ENSPTRT00000092642
ENSG00000172478	ENST00000307486	ENSPTRT00000092642
ENSG00000172478	ENST00000388934	ENSPTRT00000055954
ENSG00000172478	ENST00000414499	ENSPTRT00000055954
ENSG00000172478	ENST00000414499	ENSPTRT00000092642
ENSG00000172478	ENST00000454476	ENSPTRT00000055954
ENSG00000172478	ENST00000454476	ENSPTRT00000092642
ENSG00000114021	ENST00000394140	ENSPTRT00000028352
ENSG00000114021	ENST00000497785	ENSPTRT00000028352
ENSG00000114021	ENST00000497785	ENSPTRT00000103504
ENSG00000143772	ENST00000272117	ENSPTRT00000003749
ENSG00000143772	ENST00000366784	ENSPTRT00000104673
ENSG00000143772	ENST00000429204	ENSPTRT00000003749
ENSG00000122257	ENST00000564314	ENSPTRT00000014551
ENSG00000122257	ENST00000564314	ENSPTRT00000108021
ENSG00000122257	ENST00000564314	ENSPTRT00000105582
ENSG00000122257	ENST00000564314	ENSPTRT00000104230
ENSG00000122257	ENST00000567686	ENSPTRT00000014551
ENSG00000122257	ENST00000567686	ENSPTRT00000108021
ENSG00000122257	ENST00000567686	ENSPTRT00000105582
ENSG00000122257	ENST00000567686	ENSPTRT00000104230
ENSG00000122257	ENST00000568015	ENSPTRT00000014551
ENSG00000122257	ENST00000568015	ENSPTRT00000108021
ENSG00000122257	ENST00000568015	ENSPTRT00000105582
ENSG00000122257	ENST00000568015	ENSPTRT00000104230
ENSG00000122257	ENST00000319715	ENSPTRT00000014551
ENSG00000122257	ENST00000452655	ENSPTRT00000014551
ENSG00000122257	ENST00000452655	ENSPTRT00000108021
ENSG00000122257	ENST00000452655	ENSPTRT00000105582
ENSG00000122257	ENST00000452655	ENSPTRT00000104230
ENSG00000122257	ENST00000381039	ENSPTRT00000104230
ENSG00000122257	ENST00000646282	ENSPTRT00000014551
ENSG00000122257	ENST00000348022	ENSPTRT00000105582
ENSG00000122257	ENST00000562683	ENSPTRT00000014551
ENSG00000122257	ENST00000562683	ENSPTRT00000108021
ENSG00000122257	ENST00000562683	ENSPTRT00000105582
ENSG00000122257	ENST00000562683	ENSPTRT00000104230
ENSG00000163947	ENST00000296315	ENSPTRT00000028161
ENSG00000163947	ENST00000338458	ENSPTRT00000105210
ENSG00000163947	ENST00000413728	ENSPTRT00000103019
ENSG00000163947	ENST00000496106	ENSPTRT00000084008
ENSG00000163947	ENST00000497267	ENSPTRT00000076736
ENSG00000163947	ENST00000495373	ENSPTRT00000028161
ENSG00000163947	ENST00000468727	ENSPTRT00000028161
ENSG00000163947	ENST00000468727	ENSPTRT00000076736
ENSG00000163947	ENST00000468727	ENSPTRT00000105210
ENSG00000163947	ENST00000468727	ENSPTRT00000084008
ENSG00000163947	ENST00000468727	ENSPTRT00000106116
ENSG00000163947	ENST00000468727	ENSPTRT00000103019
ENSG00000163947	ENST00000473779	ENSPTRT00000028161
ENSG00000163947	ENST00000473779	ENSPTRT00000076736
ENSG00000163947	ENST00000473779	ENSPTRT00000105210
ENSG00000163947	ENST00000473779	ENSPTRT00000084008
ENSG00000163947	ENST00000473779	ENSPTRT00000106116
ENSG00000163947	ENST00000473779	ENSPTRT00000103019
ENSG00000163947	ENST00000468466	ENSPTRT00000028161
ENSG00000163947	ENST00000468466	ENSPTRT00000076736
ENSG00000163947	ENST00000468466	ENSPTRT00000105210
ENSG00000163947	ENST00000468466	ENSPTRT00000084008
ENSG00000163947	ENST00000468466	ENSPTRT00000106116
ENSG00000163947	ENST00000468466	ENSPTRT00000103019
ENSG00000172023	ENST00000454188	ENSPTRT00000022522
ENSG00000172023	ENST00000305089	ENSPTRT00000022522
ENSG00000126882	ENST00000372269	ENSPTRT00000089869
ENSG00000126882	ENST00000372271	ENSPTRT00000056122
ENSG00000126882	ENST00000464831	ENSPTRT00000089869
ENSG00000187151	ENST00000334289	ENSPTRT00000007851
ENSG00000187151	ENST00000534527	ENSPTRT00000007851
ENSG00000187151	ENST00000534527	ENSPTRT00000094808
ENSG00000090402	ENST00000264382	ENSPTRT00000029076
ENSG00000110318	ENST00000263468	ENSPTRT00000007852
ENSG00000110318	ENST00000532077	ENSPTRT00000007852
ENSG00000197563	ENST00000638435	ENSPTRT00000102602
ENSG00000197563	ENST00000589339	ENSPTRT00000105906
ENSG00000197563	ENST00000589339	ENSPTRT00000018473
ENSG00000197563	ENST00000589339	ENSPTRT00000102602
ENSG00000197563	ENST00000589339	ENSPTRT00000103869
ENSG00000197563	ENST00000589339	ENSPTRT00000080697
ENSG00000197563	ENST00000589339	ENSPTRT00000084021
ENSG00000197563	ENST00000589339	ENSPTRT00000110994
ENSG00000197563	ENST00000589339	ENSPTRT00000099491
ENSG00000197563	ENST00000589339	ENSPTRT00000103594
ENSG00000197563	ENST00000589339	ENSPTRT00000080616
ENSG00000197563	ENST00000585926	ENSPTRT00000105906
ENSG00000197563	ENST00000585926	ENSPTRT00000018473
ENSG00000197563	ENST00000585926	ENSPTRT00000102602
ENSG00000197563	ENST00000585926	ENSPTRT00000103869
ENSG00000197563	ENST00000585926	ENSPTRT00000080697
ENSG00000197563	ENST00000585926	ENSPTRT00000084021
ENSG00000197563	ENST00000585926	ENSPTRT00000110994
ENSG00000197563	ENST00000585926	ENSPTRT00000099491
ENSG00000197563	ENST00000585926	ENSPTRT00000103594
ENSG00000197563	ENST00000585926	ENSPTRT00000080616
ENSG00000197563	ENST00000400334	ENSPTRT00000102602
ENSG00000197563	ENST00000640252	ENSPTRT00000102602
ENSG00000197563	ENST00000588571	ENSPTRT00000105906
ENSG00000197563	ENST00000588571	ENSPTRT00000018473
ENSG00000197563	ENST00000588571	ENSPTRT00000102602
ENSG00000197563	ENST00000588571	ENSPTRT00000103869
ENSG00000197563	ENST00000588571	ENSPTRT00000080697
ENSG00000197563	ENST00000588571	ENSPTRT00000084021
ENSG00000197563	ENST00000588571	ENSPTRT00000110994
ENSG00000197563	ENST00000588571	ENSPTRT00000099491
ENSG00000197563	ENST00000588571	ENSPTRT00000103594
ENSG00000197563	ENST00000588571	ENSPTRT00000080616
ENSG00000197563	ENST00000639372	ENSPTRT00000105906
ENSG00000197563	ENST00000639372	ENSPTRT00000018473
ENSG00000197563	ENST00000639372	ENSPTRT00000102602
ENSG00000197563	ENST00000639372	ENSPTRT00000103869
ENSG00000197563	ENST00000639372	ENSPTRT00000080697
ENSG00000197563	ENST00000639372	ENSPTRT00000084021
ENSG00000197563	ENST00000639372	ENSPTRT00000110994
ENSG00000197563	ENST00000639372	ENSPTRT00000099491
ENSG00000197563	ENST00000639372	ENSPTRT00000103594
ENSG00000197563	ENST00000639372	ENSPTRT00000080616
ENSG00000197563	ENST00000639902	ENSPTRT00000018473
ENSG00000197563	ENST00000639912	ENSPTRT00000018473
ENSG00000197563	ENST00000639912	ENSPTRT00000084021
ENSG00000197563	ENST00000639600	ENSPTRT00000105906
ENSG00000197563	ENST00000639600	ENSPTRT00000018473
ENSG00000197563	ENST00000639600	ENSPTRT00000102602
ENSG00000197563	ENST00000639600	ENSPTRT00000103869
ENSG00000197563	ENST00000639600	ENSPTRT00000080697
ENSG00000197563	ENST00000639600	ENSPTRT00000084021
ENSG00000197563	ENST00000639600	ENSPTRT00000110994
ENSG00000197563	ENST00000639600	ENSPTRT00000099491
ENSG00000197563	ENST00000639600	ENSPTRT00000103594
ENSG00000197563	ENST00000639600	ENSPTRT00000080616
ENSG00000197563	ENST00000639758	ENSPTRT00000084021
ENSG00000197563	ENST00000586566	ENSPTRT00000105906
ENSG00000197563	ENST00000586566	ENSPTRT00000018473
ENSG00000197563	ENST00000586566	ENSPTRT00000102602
ENSG00000197563	ENST00000586566	ENSPTRT00000103869
ENSG00000197563	ENST00000586566	ENSPTRT00000080697
ENSG00000197563	ENST00000586566	ENSPTRT00000084021
ENSG00000197563	ENST00000586566	ENSPTRT00000110994
ENSG00000197563	ENST00000586566	ENSPTRT00000099491
ENSG00000197563	ENST00000586566	ENSPTRT00000103594
ENSG00000197563	ENST00000586566	ENSPTRT00000080616
ENSG00000197563	ENST00000640876	ENSPTRT00000102602
ENSG00000197563	ENST00000638936	ENSPTRT00000102602
ENSG00000197563	ENST00000591238	ENSPTRT00000105906
ENSG00000197563	ENST00000591238	ENSPTRT00000018473
ENSG00000197563	ENST00000591238	ENSPTRT00000102602
ENSG00000197563	ENST00000591238	ENSPTRT00000103869
ENSG00000197563	ENST00000591238	ENSPTRT00000080697
ENSG00000197563	ENST00000591238	ENSPTRT00000084021
ENSG00000197563	ENST00000591238	ENSPTRT00000110994
ENSG00000197563	ENST00000591238	ENSPTRT00000099491
ENSG00000197563	ENST00000591238	ENSPTRT00000103594
ENSG00000197563	ENST00000591238	ENSPTRT00000080616
ENSG00000197563	ENST00000357637	ENSPTRT00000102602
ENSG00000197563	ENST00000638369	ENSPTRT00000099491
ENSG00000197563	ENST00000585344	ENSPTRT00000105906
ENSG00000197563	ENST00000585344	ENSPTRT00000018473
ENSG00000197563	ENST00000585344	ENSPTRT00000102602
ENSG00000197563	ENST00000585344	ENSPTRT00000103869
ENSG00000197563	ENST00000585344	ENSPTRT00000080697
ENSG00000197563	ENST00000585344	ENSPTRT00000084021
ENSG00000197563	ENST00000585344	ENSPTRT00000110994
ENSG00000197563	ENST00000585344	ENSPTRT00000099491
ENSG00000197563	ENST00000585344	ENSPTRT00000103594
ENSG00000197563	ENST00000585344	ENSPTRT00000080616
ENSG00000197563	ENST00000640145	ENSPTRT00000102602
ENSG00000197563	ENST00000640050	ENSPTRT00000102602
ENSG00000197563	ENST00000589720	ENSPTRT00000105906
ENSG00000197563	ENST00000589720	ENSPTRT00000018473
ENSG00000197563	ENST00000589720	ENSPTRT00000102602
ENSG00000197563	ENST00000589720	ENSPTRT00000103869
ENSG00000197563	ENST00000589720	ENSPTRT00000080697
ENSG00000197563	ENST00000589720	ENSPTRT00000084021
ENSG00000197563	ENST00000589720	ENSPTRT00000110994
ENSG00000197563	ENST00000589720	ENSPTRT00000099491
ENSG00000197563	ENST00000589720	ENSPTRT00000103594
ENSG00000197563	ENST00000589720	ENSPTRT00000080616
ENSG00000197563	ENST00000638977	ENSPTRT00000084021
ENSG00000197563	ENST00000638183	ENSPTRT00000080616
ENSG00000197563	ENST00000585458	ENSPTRT00000105906
ENSG00000197563	ENST00000585458	ENSPTRT00000018473
ENSG00000197563	ENST00000585458	ENSPTRT00000102602
ENSG00000197563	ENST00000585458	ENSPTRT00000103869
ENSG00000197563	ENST00000585458	ENSPTRT00000080697
ENSG00000197563	ENST00000585458	ENSPTRT00000084021
ENSG00000197563	ENST00000585458	ENSPTRT00000110994
ENSG00000197563	ENST00000585458	ENSPTRT00000099491
ENSG00000197563	ENST00000585458	ENSPTRT00000103594
ENSG00000197563	ENST00000585458	ENSPTRT00000080616
ENSG00000197563	ENST00000638167	ENSPTRT00000099491
ENSG00000197563	ENST00000639174	ENSPTRT00000080616
ENSG00000197563	ENST00000590765	ENSPTRT00000105906
ENSG00000197563	ENST00000590765	ENSPTRT00000018473
ENSG00000197563	ENST00000590765	ENSPTRT00000102602
ENSG00000197563	ENST00000590765	ENSPTRT00000103869
ENSG00000197563	ENST00000590765	ENSPTRT00000080697
ENSG00000197563	ENST00000590765	ENSPTRT00000084021
ENSG00000197563	ENST00000590765	ENSPTRT00000110994
ENSG00000197563	ENST00000590765	ENSPTRT00000099491
ENSG00000197563	ENST00000590765	ENSPTRT00000103594
ENSG00000197563	ENST00000590765	ENSPTRT00000080616
ENSG00000197563	ENST00000640540	ENSPTRT00000018473
ENSG00000197563	ENST00000638329	ENSPTRT00000105906
ENSG00000197563	ENST00000638329	ENSPTRT00000018473
ENSG00000197563	ENST00000638329	ENSPTRT00000102602
ENSG00000197563	ENST00000638329	ENSPTRT00000103869
ENSG00000197563	ENST00000638329	ENSPTRT00000080697
ENSG00000197563	ENST00000638329	ENSPTRT00000084021
ENSG00000197563	ENST00000638329	ENSPTRT00000110994
ENSG00000197563	ENST00000638329	ENSPTRT00000099491
ENSG00000197563	ENST00000638329	ENSPTRT00000103594
ENSG00000197563	ENST00000638329	ENSPTRT00000080616
ENSG00000197563	ENST00000585923	ENSPTRT00000105906
ENSG00000197563	ENST00000585923	ENSPTRT00000018473
ENSG00000197563	ENST00000585923	ENSPTRT00000102602
ENSG00000197563	ENST00000585923	ENSPTRT00000103869
ENSG00000197563	ENST00000585923	ENSPTRT00000080697
ENSG00000197563	ENST00000585923	ENSPTRT00000084021
ENSG00000197563	ENST00000585923	ENSPTRT00000110994
ENSG00000197563	ENST00000585923	ENSPTRT00000099491
ENSG00000197563	ENST00000585923	ENSPTRT00000103594
ENSG00000197563	ENST00000585923	ENSPTRT00000080616
ENSG00000197563	ENST00000639342	ENSPTRT00000103594
ENSG00000123612	ENST00000243349	ENSPTRT00000023265
ENSG00000123612	ENST00000409680	ENSPTRT00000097141
ENSG00000123612	ENST00000348328	ENSPTRT00000111468
ENSG00000123612	ENST00000335450	ENSPTRT00000092173
ENSG00000138083	ENST00000260653	ENSPTRT00000022117
ENSG00000120370	ENST00000367763	ENSPTRT00000003022
ENSG00000120370	ENST00000367762	ENSPTRT00000003022
ENSG00000105552	ENST00000598162	ENSPTRT00000102723
ENSG00000105552	ENST00000601681	ENSPTRT00000100106
ENSG00000105552	ENST00000601681	ENSPTRT00000099800
ENSG00000105552	ENST00000601681	ENSPTRT00000020913
ENSG00000105552	ENST00000601681	ENSPTRT00000102723
ENSG00000105552	ENST00000601681	ENSPTRT00000086108
ENSG00000105552	ENST00000545387	ENSPTRT00000099800
ENSG00000105552	ENST00000402551	ENSPTRT00000100106
ENSG00000105552	ENST00000316273	ENSPTRT00000100106
ENSG00000105552	ENST00000593515	ENSPTRT00000020913
ENSG00000105552	ENST00000597011	ENSPTRT00000100106
ENSG00000105552	ENST00000599246	ENSPTRT00000086108
ENSG00000117480	ENST00000243167	ENSPTRT00000001325
ENSG00000172020	ENST00000305124	ENSPTRT00000085660
ENSG00000172020	ENST00000393780	ENSPTRT00000028489
ENSG00000115568	ENST00000449707	ENSPTRT00000023955
ENSG00000115568	ENST00000440934	ENSPTRT00000023955
ENSG00000115568	ENST00000440934	ENSPTRT00000089797
ENSG00000115568	ENST00000450560	ENSPTRT00000023955
ENSG00000115568	ENST00000450560	ENSPTRT00000089797
ENSG00000115568	ENST00000432460	ENSPTRT00000023955
ENSG00000115568	ENST00000432460	ENSPTRT00000089797
ENSG00000115568	ENST00000411696	ENSPTRT00000023955
ENSG00000011028	ENST00000303375	ENSPTRT00000017430
ENSG00000011028	ENST00000579432	ENSPTRT00000017430
ENSG00000011028	ENST00000579432	ENSPTRT00000090015
ENSG00000011028	ENST00000579432	ENSPTRT00000087180
ENSG00000011028	ENST00000446119	ENSPTRT00000087180
ENSG00000006695	ENST00000429152	ENSPTRT00000016189
ENSG00000006695	ENST00000261643	ENSPTRT00000016189
ENSG00000176170	ENST00000591651	ENSPTRT00000017761
ENSG00000176170	ENST00000545180	ENSPTRT00000017761
ENSG00000176170	ENST00000588682	ENSPTRT00000017761
ENSG00000176170	ENST00000590379	ENSPTRT00000017761
ENSG00000176170	ENST00000592299	ENSPTRT00000017761
ENSG00000176170	ENST00000590959	ENSPTRT00000017761
ENSG00000176170	ENST00000323374	ENSPTRT00000017761
ENSG00000176170	ENST00000392496	ENSPTRT00000017761
ENSG00000142515	ENST00000601503	ENSPTRT00000080692
ENSG00000142515	ENST00000326003	ENSPTRT00000088442
ENSG00000142515	ENST00000597286	ENSPTRT00000080692
ENSG00000142515	ENST00000597483	ENSPTRT00000080692
ENSG00000142515	ENST00000593997	ENSPTRT00000080692
ENSG00000142515	ENST00000595952	ENSPTRT00000088442
ENSG00000142515	ENST00000360617	ENSPTRT00000080692
ENSG00000142515	ENST00000598145	ENSPTRT00000088442
ENSG00000142515	ENST00000617027	ENSPTRT00000088442
ENSG00000164220	ENST00000296641	ENSPTRT00000031523
ENSG00000164220	ENST00000504899	ENSPTRT00000031523
ENSG00000087111	ENST00000395346	ENSPTRT00000016457
ENSG00000087111	ENST00000308360	ENSPTRT00000016457
ENSG00000205336	ENST00000568234	ENSPTRT00000062018
ENSG00000205336	ENST00000561782	ENSPTRT00000062018
ENSG00000205336	ENST00000564360	ENSPTRT00000062018
ENSG00000205336	ENST00000564722	ENSPTRT00000062018
ENSG00000205336	ENST00000563548	ENSPTRT00000062018
ENSG00000205336	ENST00000567553	ENSPTRT00000062018
ENSG00000205336	ENST00000673126	ENSPTRT00000062018
ENSG00000205336	ENST00000563445	ENSPTRT00000062018
ENSG00000205336	ENST00000564783	ENSPTRT00000062018
ENSG00000205336	ENST00000568074	ENSPTRT00000062018
ENSG00000205336	ENST00000569158	ENSPTRT00000062018
ENSG00000205336	ENST00000562003	ENSPTRT00000062018
ENSG00000205336	ENST00000570044	ENSPTRT00000062018
ENSG00000205336	ENST00000565770	ENSPTRT00000062018
ENSG00000205336	ENST00000565338	ENSPTRT00000062018
ENSG00000205336	ENST00000564729	ENSPTRT00000062018
ENSG00000205336	ENST00000563414	ENSPTRT00000062018
ENSG00000205336	ENST00000566187	ENSPTRT00000062018
ENSG00000205336	ENST00000561833	ENSPTRT00000062018
ENSG00000205336	ENST00000568791	ENSPTRT00000062018
ENSG00000205336	ENST00000564338	ENSPTRT00000062018
ENSG00000205336	ENST00000565976	ENSPTRT00000062018
ENSG00000205336	ENST00000567702	ENSPTRT00000062018
ENSG00000205336	ENST00000568618	ENSPTRT00000062018
ENSG00000205336	ENST00000565391	ENSPTRT00000062018
ENSG00000205336	ENST00000561988	ENSPTRT00000062018
ENSG00000205336	ENST00000565587	ENSPTRT00000062018
ENSG00000205336	ENST00000566164	ENSPTRT00000062018
ENSG00000205336	ENST00000566508	ENSPTRT00000062018
ENSG00000205336	ENST00000569494	ENSPTRT00000062018
ENSG00000205336	ENST00000567154	ENSPTRT00000062018
ENSG00000205336	ENST00000456916	ENSPTRT00000062018
ENSG00000205336	ENST00000567835	ENSPTRT00000062018
ENSG00000205336	ENST00000567397	ENSPTRT00000062018
ENSG00000205336	ENST00000567915	ENSPTRT00000062018
ENSG00000205336	ENST00000566169	ENSPTRT00000062018
ENSG00000205336	ENST00000565013	ENSPTRT00000062018
ENSG00000205336	ENST00000388813	ENSPTRT00000062018
ENSG00000205336	ENST00000569372	ENSPTRT00000062018
ENSG00000205336	ENST00000568979	ENSPTRT00000062018
ENSG00000205336	ENST00000564103	ENSPTRT00000062018
ENSG00000205336	ENST00000568157	ENSPTRT00000062018
ENSG00000205336	ENST00000561696	ENSPTRT00000062018
ENSG00000205336	ENST00000566778	ENSPTRT00000062018
ENSG00000205336	ENST00000562558	ENSPTRT00000062018
ENSG00000205336	ENST00000672974	ENSPTRT00000062018
ENSG00000205336	ENST00000562467	ENSPTRT00000062018
ENSG00000205336	ENST00000569154	ENSPTRT00000062018
ENSG00000205336	ENST00000562414	ENSPTRT00000062018
ENSG00000205336	ENST00000568909	ENSPTRT00000062018
ENSG00000205336	ENST00000566271	ENSPTRT00000062018
ENSG00000205336	ENST00000566123	ENSPTRT00000062018
ENSG00000205336	ENST00000540164	ENSPTRT00000062018
ENSG00000205336	ENST00000569101	ENSPTRT00000062018
ENSG00000205336	ENST00000561969	ENSPTRT00000062018
ENSG00000205336	ENST00000568908	ENSPTRT00000062018
ENSG00000205336	ENST00000563374	ENSPTRT00000062018
ENSG00000205336	ENST00000562682	ENSPTRT00000062018
ENSG00000205336	ENST00000568531	ENSPTRT00000062018
ENSG00000205336	ENST00000563862	ENSPTRT00000062018
ENSG00000205336	ENST00000569531	ENSPTRT00000062018
ENSG00000205336	ENST00000565314	ENSPTRT00000062018
ENSG00000205336	ENST00000562631	ENSPTRT00000062018
ENSG00000163959	ENST00000416660	ENSPTRT00000029418
ENSG00000163959	ENST00000296327	ENSPTRT00000029418
ENSG00000163959	ENST00000428985	ENSPTRT00000029418
ENSG00000163959	ENST00000415111	ENSPTRT00000029418
ENSG00000157978	ENST00000374338	ENSPTRT00000000728
ENSG00000074582	ENST00000412366	ENSPTRT00000047315
ENSG00000074582	ENST00000439945	ENSPTRT00000047315
ENSG00000074582	ENST00000428880	ENSPTRT00000080218
ENSG00000074582	ENST00000431802	ENSPTRT00000047315
ENSG00000074582	ENST00000430322	ENSPTRT00000080218
ENSG00000074582	ENST00000643945	ENSPTRT00000080218
ENSG00000074582	ENST00000456050	ENSPTRT00000080218
ENSG00000074582	ENST00000426649	ENSPTRT00000047315
ENSG00000074582	ENST00000426649	ENSPTRT00000080218
ENSG00000074582	ENST00000443791	ENSPTRT00000047315
ENSG00000074582	ENST00000443791	ENSPTRT00000080218
ENSG00000074582	ENST00000436603	ENSPTRT00000080218
ENSG00000074582	ENST00000359273	ENSPTRT00000047315
ENSG00000074582	ENST00000392111	ENSPTRT00000047315
ENSG00000074582	ENST00000392109	ENSPTRT00000047315
ENSG00000074582	ENST00000392110	ENSPTRT00000047315
ENSG00000074582	ENST00000423377	ENSPTRT00000080218
ENSG00000163808	ENST00000326047	ENSPTRT00000046956
ENSG00000163808	ENST00000481166	ENSPTRT00000046956
ENSG00000163808	ENST00000481166	ENSPTRT00000096241
ENSG00000163808	ENST00000425755	ENSPTRT00000096241
ENSG00000114978	ENST00000396049	ENSPTRT00000022466
