ENSG00000173757	ENSPTRG00000009198
ENSG00000167588	ENSPTRG00000004925
ENSG00000140044	ENSPTRG00000006555
ENSG00000156127	ENSPTRG00000006556
ENSG00000196074	ENSPTRG00000013687
ENSG00000197753	ENSPTRG00000049082
ENSG00000137392	ENSPTRG00000018092
ENSG00000096063	ENSPTRG00000018094
ENSG00000184508	ENSPTRG00000007464
ENSG00000172901	ENSPTRG00000017157
ENSG00000166965	ENSPTRG00000007466
ENSG00000198535	ENSPTRG00000030264
ENSG00000205502	ENSPTRG00000049027
ENSG00000140553	ENSPTRG00000007465
ENSG00000170100	ENSPTRG00000008475
ENSG00000159648	ENSPTRG00000008170
ENSG00000268223	ENSPTRG00000044189
ENSG00000133935	ENSPTRG00000006559
ENSG00000119699	ENSPTRG00000006562
ENSG00000119686	ENSPTRG00000006557
ENSG00000204438	ENSPTRG00000017973
ENSG00000138376	ENSPTRG00000012888
ENSG00000119650	ENSPTRG00000006563
ENSG00000119685	ENSPTRG00000006560
ENSG00000125733	ENSPTRG00000010376
ENSG00000077713	ENSPTRG00000047955
ENSG00000005022	ENSPTRG00000041698
ENSG00000123569	ENSPTRG00000023591
ENSG00000205045	ENSPTRG00000030902
ENSG00000065548	ENSPTRG00000012717
ENSG00000112578	ENSPTRG00000018163
ENSG00000166188	ENSPTRG00000031195
ENSG00000103005	ENSPTRG00000008172
ENSG00000177082	ENSPTRG00000007402
ENSG00000139624	ENSPTRG00000004927
ENSG00000269743	ENSPTRG00000028226
ENSG00000166707	ENSPTRG00000043349
ENSG00000109079	ENSPTRG00000008912
ENSG00000236320	ENSPTRG00000039969
ENSG00000102349	ENSPTRG00000021957
ENSG00000004142	ENSPTRG00000051371
ENSG00000176371	ENSPTRG00000007400
ENSG00000137764	ENSPTRG00000007207
ENSG00000182263	ENSPTRG00000012586
ENSG00000188021	ENSPTRG00000048553
ENSG00000141905	ENSPTRG00000010261
ENSG00000270885	ENSPTRG00000009022
ENSG00000008838	ENSPTRG00000009111
ENSG00000270806	ENSPTRG00000009024
ENSG00000108733	ENSPTRG00000009020
ENSG00000271447	ENSPTRG00000009025
ENSG00000270765	ENSPTRG00000009023
ENSG00000270379	ENSPTRG00000009028
ENSG00000061938	ENSPTRG00000049620
ENSG00000006125	ENSPTRG00000009021
ENSG00000126351	ENSPTRG00000009112
ENSG00000159314	ENSPTRG00000009304
ENSG00000144452	ENSPTRG00000012889
ENSG00000126368	ENSPTRG00000009113
ENSG00000152495	ENSPTRG00000017129
ENSG00000204304	ENSPTRG00000018012
ENSG00000112115	ENSPTRG00000018273
ENSG00000168610	ENSPTRG00000009200
ENSG00000112116	ENSPTRG00000018274
ENSG00000151702	ENSPTRG00000004467
ENSG00000270647	ENSPTRG00000009026
ENSG00000135740	ENSPTRG00000008224
ENSG00000115661	ENSPTRG00000012948
ENSG00000173166	ENSPTRG00000012831
ENSG00000135723	ENSPTRG00000008223
ENSG00000163516	ENSPTRG00000012946
ENSG00000198700	ENSPTRG00000023652
ENSG00000143158	ENSPTRG00000001640
ENSG00000143164	ENSPTRG00000001641
ENSG00000213654	ENSPTRG00000023968
ENSG00000134369	ENSPTRG00000001837
ENSG00000204301	ENSPTRG00000034379
ENSG00000243910	ENSPTRG00000045592
ENSG00000127824	ENSPTRG00000012949
ENSG00000163521	ENSPTRG00000012947
ENSG00000138443	ENSPTRG00000012830
ENSG00000095932	ENSPTRG00000049658
ENSG00000129932	ENSPTRG00000010263
ENSG00000018610	ENSPTRG00000022224
ENSG00000146013	ENSPTRG00000017283
ENSG00000164902	ENSPTRG00000017186
ENSG00000173548	ENSPTRG00000007304
ENSG00000177971	ENSPTRG00000052235
ENSG00000102032	ENSPTRG00000022420
ENSG00000125731	ENSPTRG00000010377
ENSG00000196900	ENSPTRG00000022761
ENSG00000177469	ENSPTRG00000040069
ENSG00000101974	ENSPTRG00000022333
ENSG00000118997	ENSPTRG00000012761
ENSG00000173546	ENSPTRG00000007305
ENSG00000112118	ENSPTRG00000018275
ENSG00000174059	ENSPTRG00000001932
ENSG00000182950	ENSPTRG00000007306
ENSG00000225190	ENSPTRG00000009306
ENSG00000112576	ENSPTRG00000018164
ENSG00000076351	ENSPTRG00000049265
ENSG00000134986	ENSPTRG00000017131
ENSG00000244045	ENSPTRG00000008914
ENSG00000158402	ENSPTRG00000017284
ENSG00000274529	ENSPTRG00000046162
ENSG00000064961	ENSPTRG00000010268
ENSG00000109072	ENSPTRG00000008916
ENSG00000164211	ENSPTRG00000047777
ENSG00000105325	ENSPTRG00000010264
ENSG00000120709	ENSPTRG00000017285
ENSG00000004139	ENSPTRG00000008917
ENSG00000140836	ENSPTRG00000008340
ENSG00000151704	ENSPTRG00000004470
ENSG00000161091	ENSPTRG00000010267
ENSG00000188779	ENSPTRG00000007209
ENSG00000077721	ENSPTRG00000022225
ENSG00000167522	ENSPTRG00000008476
ENSG00000183397	ENSPTRG00000010265
ENSG00000186416	ENSPTRG00000022226
ENSG00000173926	ENSPTRG00000017190
ENSG00000164241	ENSPTRG00000048256
ENSG00000081320	ENSPTRG00000012763
ENSG00000145794	ENSPTRG00000017193
ENSG00000162704	ENSPTRG00000001767
ENSG00000096093	ENSPTRG00000018277
ENSG00000140367	ENSPTRG00000007308
ENSG00000198901	ENSPTRG00000007467
ENSG00000198892	ENSPTRG00000001839
ENSG00000163431	ENSPTRG00000001841
ENSG00000065308	ENSPTRG00000040958
ENSG00000170915	ENSPTRG00000047053
ENSG00000203933	ENSPTRG00000028189
ENSG00000138363	ENSPTRG00000012891
ENSG00000173627	ENSPTRG00000047181
ENSG00000143344	ENSPTRG00000001768
ENSG00000076356	ENSPTRG00000001933
ENSG00000134595	ENSPTRG00000044005
ENSG00000134375	ENSPTRG00000001842
ENSG00000143155	ENSPTRG00000001644
ENSG00000137413	ENSPTRG00000018165
ENSG00000033627	ENSPTRG00000009202
ENSG00000198756	ENSPTRG00000022688
ENSG00000141968	ENSPTRG00000010378
ENSG00000213064	ENSPTRG00000034187
ENSG00000197696	ENSPTRG00000007403
ENSG00000103035	ENSPTRG00000008343
ENSG00000198860	ENSPTRG00000023202
ENSG00000143178	ENSPTRG00000042723
ENSG00000188112	ENSPTRG00000018166
ENSG00000165509	ENSPTRG00000022341
ENSG00000167196	ENSPTRG00000007311
ENSG00000046774	ENSPTRG00000028182
ENSG00000169752	ENSPTRG00000007312
ENSG00000140612	ENSPTRG00000007404
ENSG00000138411	ENSPTRG00000012764
ENSG00000228300	ENSPTRG00000010194
ENSG00000189326	ENSPTRG00000022342
ENSG00000189252	ENSPTRG00000049779
ENSG00000116667	ENSPTRG00000052438
ENSG00000099617	ENSPTRG00000029192
ENSG00000179542	ENSPTRG00000028181
ENSG00000268988	ENSPTRG00000032493
ENSG00000143185	ENSPTRG00000044293
ENSG00000166716	ENSPTRG00000007405
ENSG00000203923	ENSPTRG00000052448
ENSG00000163435	ENSPTRG00000001844
ENSG00000116406	ENSPTRG00000001773
ENSG00000176393	ENSPTRG00000001843
ENSG00000188895	ENSPTRG00000009114
ENSG00000136383	ENSPTRG00000007406
ENSG00000160953	ENSPTRG00000010195
ENSG00000108786	ENSPTRG00000052042
ENSG00000068120	ENSPTRG00000009207
ENSG00000108784	ENSPTRG00000009203
ENSG00000179855	ENSPTRG00000010269
ENSG00000006638	ENSPTRG00000050832
ENSG00000203879	ENSPTRG00000028169
ENSG00000105298	ENSPTRG00000010272
ENSG00000143184	ENSPTRG00000043019
ENSG00000125354	ENSPTRG00000022227
ENSG00000169057	ENSPTRG00000048003
ENSG00000156508	ENSPTRG00000018347
ENSG00000143196	ENSPTRG00000001651
ENSG00000112599	ENSPTRG00000018168
ENSG00000048544	ENSPTRG00000018169
ENSG00000119899	ENSPTRG00000018348
ENSG00000183155	ENSPTRG00000001860
ENSG00000156535	ENSPTRG00000018349
ENSG00000117477	ENSPTRG00000001657
ENSG00000143156	ENSPTRG00000001655
ENSG00000140450	ENSPTRG00000007487
ENSG00000117475	ENSPTRG00000001656
ENSG00000143153	ENSPTRG00000001653
ENSG00000117153	ENSPTRG00000001861
ENSG00000124496	ENSPTRG00000018170
ENSG00000071859	ENSPTRG00000022437
ENSG00000077463	ENSPTRG00000010296
ENSG00000187808	ENSPTRG00000041094
ENSG00000125351	ENSPTRG00000022228
ENSG00000198863	ENSPTRG00000023434
ENSG00000159346	ENSPTRG00000001862
ENSG00000131469	ENSPTRG00000009232
ENSG00000090863	ENSPTRG00000024158
ENSG00000196976	ENSPTRG00000022439
ENSG00000130827	ENSPTRG00000022438
ENSG00000140443	ENSPTRG00000007489
ENSG00000160193	ENSPTRG00000013948
ENSG00000183571	ENSPTRG00000007492
ENSG00000182253	ENSPTRG00000007493
ENSG00000159348	ENSPTRG00000001863
ENSG00000102178	ENSPTRG00000022440
ENSG00000068079	ENSPTRG00000009233
ENSG00000126903	ENSPTRG00000051548
ENSG00000119041	ENSPTRG00000012767
ENSG00000089847	ENSPTRG00000010297
ENSG00000275489	ENSPTRG00000034175
ENSG00000135686	ENSPTRG00000008420
ENSG00000144395	ENSPTRG00000012765
ENSG00000163444	ENSPTRG00000001864
ENSG00000105246	ENSPTRG00000010298
ENSG00000024048	ENSPTRG00000018171
ENSG00000108828	ENSPTRG00000009234
ENSG00000105248	ENSPTRG00000010299
ENSG00000108830	ENSPTRG00000046585
ENSG00000105251	ENSPTRG00000010300
ENSG00000167664	ENSPTRG00000010301
ENSG00000160194	ENSPTRG00000047245
ENSG00000125691	ENSPTRG00000009079
ENSG00000125352	ENSPTRG00000022231
ENSG00000125356	ENSPTRG00000022230
ENSG00000103852	ENSPTRG00000007494
ENSG00000075391	ENSPTRG00000001717
ENSG00000103194	ENSPTRG00000008421
ENSG00000140374	ENSPTRG00000007314
ENSG00000111799	ENSPTRG00000018351
ENSG00000173638	ENSPTRG00000031409
ENSG00000169758	ENSPTRG00000007313
ENSG00000182871	ENSPTRG00000014005
ENSG00000168411	ENSPTRG00000008348
ENSG00000071889	ENSPTRG00000022442
ENSG00000002834	ENSPTRG00000009081
ENSG00000105255	ENSPTRG00000010302
ENSG00000076770	ENSPTRG00000022280
ENSG00000168904	ENSPTRG00000007495
ENSG00000122180	ENSPTRG00000001866
ENSG00000103196	ENSPTRG00000008422
ENSG00000164399	ENSPTRG00000017211
ENSG00000163485	ENSPTRG00000001867
ENSG00000175221	ENSPTRG00000049920
ENSG00000164400	ENSPTRG00000017212
ENSG00000112695	ENSPTRG00000050864
ENSG00000269335	ENSPTRG00000040677
ENSG00000160211	ENSPTRG00000022443
ENSG00000204952	ENSPTRG00000030923
ENSG00000103876	ENSPTRG00000007362
ENSG00000133055	ENSPTRG00000001868
ENSG00000003400	ENSPTRG00000012800
ENSG00000131435	ENSPTRG00000017214
ENSG00000072682	ENSPTRG00000017213
ENSG00000240021	ENSPTRG00000001720
ENSG00000184845	ENSPTRG00000049206
ENSG00000185220	ENSPTRG00000002227
ENSG00000197375	ENSPTRG00000044897
ENSG00000197208	ENSPTRG00000017215
ENSG00000161381	ENSPTRG00000009083
ENSG00000178078	ENSPTRG00000051487
ENSG00000133048	ENSPTRG00000001869
ENSG00000116191	ENSPTRG00000001722
ENSG00000163449	ENSPTRG00000012895
ENSG00000115425	ENSPTRG00000012894
ENSG00000116194	ENSPTRG00000001724
ENSG00000118242	ENSPTRG00000012893
ENSG00000181577	ENSPTRG00000044964
ENSG00000183060	ENSPTRG00000007497
ENSG00000164466	ENSPTRG00000017550
ENSG00000259417	ENSPTRG00000050540
ENSG00000068305	ENSPTRG00000007496
ENSG00000153786	ENSPTRG00000008424
ENSG00000011451	ENSPTRG00000010622
ENSG00000180992	ENSPTRG00000018213
ENSG00000112697	ENSPTRG00000018355
ENSG00000173826	ENSPTRG00000009514
ENSG00000137216	ENSPTRG00000018214
ENSG00000135709	ENSPTRG00000008425
ENSG00000136485	ENSPTRG00000009515
ENSG00000133063	ENSPTRG00000001870
ENSG00000113749	ENSPTRG00000017551
ENSG00000172379	ENSPTRG00000007363
ENSG00000118407	ENSPTRG00000018356
ENSG00000105122	ENSPTRG00000033776
ENSG00000159388	ENSPTRG00000001871
ENSG00000153789	ENSPTRG00000008427
ENSG00000136463	ENSPTRG00000009516
ENSG00000198858	ENSPTRG00000049897
ENSG00000145920	ENSPTRG00000048326
ENSG00000008382	ENSPTRG00000010307
ENSG00000116199	ENSPTRG00000001725
ENSG00000161031	ENSPTRG00000010624
ENSG00000122176	ENSPTRG00000001872
ENSG00000051596	ENSPTRG00000017594
ENSG00000171954	ENSPTRG00000010625
ENSG00000136379	ENSPTRG00000007364
ENSG00000103888	ENSPTRG00000007365
ENSG00000117899	ENSPTRG00000007366
ENSG00000186283	ENSPTRG00000001726
ENSG00000116014	ENSPTRG00000010170
ENSG00000064012	ENSPTRG00000012801
ENSG00000171004	ENSPTRG00000022281
ENSG00000140470	ENSPTRG00000007500
ENSG00000141748	ENSPTRG00000009084
ENSG00000188783	ENSPTRG00000022635
ENSG00000137225	ENSPTRG00000018215
ENSG00000079246	ENSPTRG00000012896
ENSG00000188770	ENSPTRG00000024044
ENSG00000067191	ENSPTRG00000009085
ENSG00000144583	ENSPTRG00000012897
ENSG00000058668	ENSPTRG00000001873
ENSG00000116017	ENSPTRG00000010173
ENSG00000134588	ENSPTRG00000028202
ENSG00000262179	ENSPTRG00000043831
ENSG00000183434	ENSPTRG00000028201
ENSG00000198231	ENSPTRG00000009523
ENSG00000138375	ENSPTRG00000012898
ENSG00000131153	ENSPTRG00000008430
ENSG00000131149	ENSPTRG00000008429
ENSG00000108588	ENSPTRG00000009522
ENSG00000266173	ENSPTRG00000009520
ENSG00000164308	ENSPTRG00000017096
ENSG00000113441	ENSPTRG00000017097
ENSG00000076716	ENSPTRG00000022282
ENSG00000183570	ENSPTRG00000014010
ENSG00000136490	ENSPTRG00000009519
ENSG00000198909	ENSPTRG00000009518
ENSG00000186526	ENSPTRG00000010627
ENSG00000186529	ENSPTRG00000010628
ENSG00000186204	ENSPTRG00000010629
ENSG00000170085	ENSPTRG00000017557
ENSG00000171936	ENSPTRG00000044446
ENSG00000171903	ENSPTRG00000010634
ENSG00000186115	ENSPTRG00000010632
ENSG00000122203	ENSPTRG00000017558
ENSG00000175414	ENSPTRG00000046949
ENSG00000175416	ENSPTRG00000051534
ENSG00000146066	ENSPTRG00000017561
ENSG00000113194	ENSPTRG00000017563
ENSG00000176231	ENSPTRG00000047781
ENSG00000146083	ENSPTRG00000017564
ENSG00000074276	ENSPTRG00000017565
ENSG00000074317	ENSPTRG00000017567
ENSG00000175766	ENSPTRG00000028481
ENSG00000048140	ENSPTRG00000017568
ENSG00000113763	ENSPTRG00000017569
ENSG00000160883	ENSPTRG00000017571
ENSG00000167460	ENSPTRG00000010637
ENSG00000087206	ENSPTRG00000017572
ENSG00000135541	ENSPTRG00000018632
ENSG00000113761	ENSPTRG00000017573
ENSG00000196684	ENSPTRG00000023880
ENSG00000167461	ENSPTRG00000010639
ENSG00000160867	ENSPTRG00000017574
ENSG00000141977	ENSPTRG00000010640
ENSG00000171408	ENSPTRG00000018633
ENSG00000105058	ENSPTRG00000010641
ENSG00000165671	ENSPTRG00000017575
ENSG00000072958	ENSPTRG00000010642
ENSG00000146410	ENSPTRG00000018634
ENSG00000169230	ENSPTRG00000046505
ENSG00000169228	ENSPTRG00000017577
ENSG00000213347	ENSPTRG00000051004
ENSG00000127528	ENSPTRG00000010643
ENSG00000029363	ENSPTRG00000018635
ENSG00000108592	ENSPTRG00000009524
ENSG00000087191	ENSPTRG00000009525
ENSG00000169223	ENSPTRG00000017580
ENSG00000169220	ENSPTRG00000017581
ENSG00000131183	ENSPTRG00000017582
ENSG00000196570	ENSPTRG00000045005
ENSG00000131188	ENSPTRG00000017585
ENSG00000198055	ENSPTRG00000045987
ENSG00000131187	ENSPTRG00000017583
ENSG00000135525	ENSPTRG00000018636
ENSG00000108604	ENSPTRG00000009526
ENSG00000127527	ENSPTRG00000010644
ENSG00000197442	ENSPTRG00000024326
ENSG00000007312	ENSPTRG00000009531
ENSG00000204414	ENSPTRG00000030805
ENSG00000112357	ENSPTRG00000018638
ENSG00000113758	ENSPTRG00000017586
ENSG00000161594	ENSPTRG00000009182
ENSG00000083750	ENSPTRG00000021955
ENSG00000145715	ENSPTRG00000017062
ENSG00000198598	ENSPTRG00000005641
ENSG00000107186	ENSPTRG00000020776
ENSG00000094880	ENSPTRG00000017282
ENSG00000205133	ENSPTRG00000049470
ENSG00000135297	ENSPTRG00000048593
ENSG00000174453	ENSPTRG00000012886
ENSG00000115271	ENSPTRG00000012583
ENSG00000125122	ENSPTRG00000008221
ENSG00000184611	ENSPTRG00000012584
ENSG00000144451	ENSPTRG00000012885
ENSG00000196504	ENSPTRG00000012543
ENSG00000204025	ENSPTRG00000045594
ENSG00000185615	ENSPTRG00000051483
ENSG00000104904	ENSPTRG00000010230
ENSG00000146151	ENSPTRG00000018299
ENSG00000159173	ENSPTRG00000001834
ENSG00000124615	ENSPTRG00000018140
ENSG00000005206	ENSPTRG00000010234
ENSG00000137207	ENSPTRG00000018201
ENSG00000022267	ENSPTRG00000043363
ENSG00000087495	ENSPTRG00000013686
ENSG00000112983	ENSPTRG00000017280
ENSG00000143149	ENSPTRG00000001617
ENSG00000187553	ENSPTRG00000002762
ENSG00000099326	ENSPTRG00000011601
ENSG00000181026	ENSPTRG00000007422
ENSG00000180787	ENSPTRG00000052066
ENSG00000156697	ENSPTRG00000022262
ENSG00000089558	ENSPTRG00000009195
ENSG00000102174	ENSPTRG00000021737
ENSG00000160446	ENSPTRG00000021438
ENSG00000137221	ENSPTRG00000018199
ENSG00000109083	ENSPTRG00000008911
ENSG00000166035	ENSPTRG00000007115
ENSG00000083838	ENSPTRG00000011595
ENSG00000239642	ENSPTRG00000046614
ENSG00000140519	ENSPTRG00000007432
ENSG00000182149	ENSPTRG00000051566
ENSG00000104899	ENSPTRG00000010228
ENSG00000101977	ENSPTRG00000046461
ENSG00000154114	ENSPTRG00000004395
ENSG00000083097	ENSPTRG00000018378
ENSG00000153815	ENSPTRG00000008393
ENSG00000013392	ENSPTRG00000049322
ENSG00000109084	ENSPTRG00000008909
ENSG00000151418	ENSPTRG00000001816
ENSG00000128918	ENSPTRG00000007113
ENSG00000131849	ENSPTRG00000011593
ENSG00000116030	ENSPTRG00000012817
ENSG00000105556	ENSPTRG00000010142
ENSG00000249471	ENSPTRG00000011594
ENSG00000099625	ENSPTRG00000010188
ENSG00000169871	ENSPTRG00000019518
ENSG00000151414	ENSPTRG00000001815
ENSG00000171574	ENSPTRG00000011592
ENSG00000119820	ENSPTRG00000011817
ENSG00000110172	ENSPTRG00000004164
ENSG00000118046	ENSPTRG00000010187
ENSG00000176715	ENSPTRG00000008471
ENSG00000129250	ENSPTRG00000008620
ENSG00000259511	ENSPTRG00000048753
ENSG00000071564	ENSPTRG00000010211
ENSG00000105229	ENSPTRG00000010290
ENSG00000145777	ENSPTRG00000043950
ENSG00000121410	ENSPTRG00000011588
ENSG00000135317	ENSPTRG00000018392
ENSG00000174586	ENSPTRG00000044217
ENSG00000116752	ENSPTRG00000001136
ENSG00000237190	ENSPTRG00000017241
ENSG00000102890	ENSPTRG00000008220
ENSG00000134987	ENSPTRG00000017128
ENSG00000187871	ENSPTRG00000018298
ENSG00000278129	ENSPTRG00000011584
ENSG00000232125	ENSPTRG00000042355
ENSG00000119048	ENSPTRG00000017240
ENSG00000102172	ENSPTRG00000050587
ENSG00000137252	ENSPTRG00000018297
ENSG00000138190	ENSPTRG00000002761
ENSG00000008197	ENSPTRG00000018268
ENSG00000235118	ENSPTRG00000045763
ENSG00000164509	ENSPTRG00000016886
ENSG00000185379	ENSPTRG00000009010
ENSG00000061936	ENSPTRG00000005640
ENSG00000174514	ENSPTRG00000001901
ENSG00000089234	ENSPTRG00000005461
ENSG00000182318	ENSPTRG00000011587
ENSG00000075399	ENSPTRG00000031104
ENSG00000158711	ENSPTRG00000001902
ENSG00000182511	ENSPTRG00000007462
ENSG00000144426	ENSPTRG00000012828
ENSG00000115267	ENSPTRG00000012582
ENSG00000185689	ENSPTRG00000017686
ENSG00000091106	ENSPTRG00000011816
ENSG00000204279	ENSPTRG00000028272
ENSG00000140848	ENSPTRG00000008147
ENSG00000132141	ENSPTRG00000023221
ENSG00000203970	ENSPTRG00000029615
ENSG00000109654	ENSPTRG00000016522
ENSG00000214642	ENSPTRG00000032456
ENSG00000140464	ENSPTRG00000007266
ENSG00000006062	ENSPTRG00000034405
ENSG00000158639	ENSPTRG00000040205
ENSG00000112208	ENSPTRG00000018307
ENSG00000108774	ENSPTRG00000009194
ENSG00000146242	ENSPTRG00000018376
ENSG00000260325	ENSPTRG00000030948
ENSG00000221837	ENSPTRG00000050735
ENSG00000165891	ENSPTRG00000005245
ENSG00000117266	ENSPTRG00000044522
ENSG00000273559	ENSPTRG00000009077
ENSG00000141756	ENSPTRG00000009180
ENSG00000177025	ENSPTRG00000011578
ENSG00000127831	ENSPTRG00000012919
ENSG00000151917	ENSPTRG00000018304
ENSG00000137812	ENSPTRG00000006925
ENSG00000196724	ENSPTRG00000028863
ENSG00000030419	ENSPTRG00000048797
ENSG00000044446	ENSPTRG00000021715
ENSG00000157827	ENSPTRG00000012541
ENSG00000117139	ENSPTRG00000001856
ENSG00000168591	ENSPTRG00000009266
ENSG00000174804	ENSPTRG00000004148
ENSG00000062485	ENSPTRG00000005090
ENSG00000173801	ENSPTRG00000009178
ENSG00000108799	ENSPTRG00000009217
ENSG00000101695	ENSPTRG00000051590
ENSG00000159885	ENSPTRG00000011102
ENSG00000159593	ENSPTRG00000024077
ENSG00000146094	ENSPTRG00000052283
ENSG00000187325	ENSPTRG00000022053
ENSG00000121270	ENSPTRG00000008092
ENSG00000198483	ENSPTRG00000022831
ENSG00000136444	ENSPTRG00000009401
ENSG00000170819	ENSPTRG00000015406
ENSG00000180616	ENSPTRG00000043320
ENSG00000108798	ENSPTRG00000009371
ENSG00000134758	ENSPTRG00000009956
ENSG00000133193	ENSPTRG00000051372
ENSG00000144868	ENSPTRG00000015405
ENSG00000173198	ENSPTRG00000022054
ENSG00000107263	ENSPTRG00000021490
ENSG00000112394	ENSPTRG00000018506
ENSG00000188994	ENSPTRG00000018400
ENSG00000135250	ENSPTRG00000019564
ENSG00000147145	ENSPTRG00000022056
ENSG00000104164	ENSPTRG00000007038
ENSG00000197705	ENSPTRG00000023330
ENSG00000267680	ENSPTRG00000011105
ENSG00000164494	ENSPTRG00000018466
ENSG00000183853	ENSPTRG00000001495
ENSG00000141441	ENSPTRG00000009958
ENSG00000184162	ENSPTRG00000010733
ENSG00000114742	ENSPTRG00000014765
ENSG00000178607	ENSPTRG00000009535
ENSG00000167772	ENSPTRG00000010420
ENSG00000263002	ENSPTRG00000011109
ENSG00000141434	ENSPTRG00000009957
ENSG00000156269	ENSPTRG00000016205
ENSG00000178295	ENSPTRG00000011678
ENSG00000177468	ENSPTRG00000018643
ENSG00000176049	ENSPTRG00000017381
ENSG00000135898	ENSPTRG00000013019
ENSG00000078369	ENSPTRG00000048657
ENSG00000112530	ENSPTRG00000048824
ENSG00000187045	ENSPTRG00000014327
ENSG00000167380	ENSPTRG00000011108
ENSG00000272333	ENSPTRG00000010858
ENSG00000112320	ENSPTRG00000018467
ENSG00000091536	ENSPTRG00000008843
ENSG00000154309	ENSPTRG00000002013
ENSG00000124237	ENSPTRG00000013667
ENSG00000114850	ENSPTRG00000048398
